start_station_name,Number of rides,latitude,longitude
"New North Road 2, Hoxton",21,51.53114,-0.086016
"St. Martin's Street, West End",21,51.50908747,-0.129697889
"Wandsworth Town Station, Wandsworth",21,51.46086446,-0.187427294
"All Saints' Road, Portobello",21,51.5190427,-0.204764421
"Alfreda Street, Battersea Park",21,51.47505096,-0.150908371
"Sutton Street, Shadwell",21,51.511066,-0.053558
"Finlay Street, Fulham",20,51.4768851,-0.215895601
"Watney Market, Stepney",20,51.5142228,-0.055656
"Grosvenor Road, Pimlico",20,51.4853572,-0.142207481
"Bishop's Bridge Road West, Bayswater",20,51.51616,-0.18697
"Bishop's Avenue, Fulham",20,51.47303687,-0.214749808
"Emperor's Gate, South Kensington",20,51.49536226,-0.185296516
"Princes Square, Bayswater",20,51.5134891,-0.191351186
"Finnis Street, Bethnal Green",20,51.52458353,-0.058631453
"Risinghill Street, Angel",20,51.5333196,-0.1117812
"Garnet Street, Shadwell",20,51.508447,-0.055167
"Farm Street, Mayfair",20,51.50935171,-0.14744969
"Eel Brook Common, Walham Green",20,51.47625965,-0.193254007
"Stanhope Gate, Mayfair",20,51.50686435,-0.150666888
"BBC White City, White City",20,51.514767,-0.225787
"Hermitage Court, Wapping",20,51.504719,-0.063531
"Collingham Gardens, Earl's Court",20,51.4916156,-0.186753859
"Clifford Street, Mayfair",20,51.51066202,-0.142345694
"Mile End Park Leisure Centre, Mile End",20,51.52059714,-0.032566533
"Osiers Road, Wandsworth",20,51.46067005,-0.198735357
"Nevern Place, Earl's Court",20,51.49334336,-0.194757949
"Knaresborough Place, Earl's Court",20,51.49363156,-0.190603326
"Pembridge Villas, Notting Hill",20,51.51108452,-0.197524944
"Royal Avenue 1, Chelsea",19,51.489932,-0.162727
"Beryl Road, Hammersmith",19,51.48814438,-0.222456468
"Thorndike Close, West Chelsea",19,51.48089844,-0.183853573
"Sheepcote Lane, Battersea",19,51.47053858,-0.163041605
"Grosvenor Crescent, Belgravia",19,51.50135267,-0.153194766
"Westbourne Park Road, Portobello",19,51.51787005,-0.201005397
"Cleaver Street, Kennington",19,51.488105,-0.110121
"Salmon Lane, Limehouse",19,51.514115,-0.033828
"Cleveland Gardens, Bayswater",19,51.515607,-0.183118788
"King Edward Walk, Waterloo",19,51.49775,-0.10988
"Kennington Road Post Office, Oval",19,51.48478899,-0.110683213
"Paddington Street, Marylebone",19,51.52058381,-0.154701411
"Aberdeen Place, St. John's Wood",19,51.524826,-0.176268
"Lots Road, West Chelsea",19,51.4795738,-0.17903854
"Porchester Place, Paddington",19,51.51474612,-0.165164288
"Wapping High Street, Wapping",19,51.504904,-0.06797
"Cephas Street, Bethnal Green",18,51.522561,-0.054883
"Upper Bank Street, Canary Wharf",18,51.503083,-0.017676
"Princedale Road , Holland Park",18,51.50646524,-0.208486599
"Vincent Square, Westminster",18,51.49398524,-0.136928582
"South Audley Street, Mayfair",18,51.50923022,-0.151296092
"River Street , Clerkenwell",18,51.52916347,-0.109970527
